header;url;nb_points;theme;duree;sujet_url;correction_url
Perte auditive après un concert;https://labolycee.org/perte-auditive-apres-un-concert;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-4046a-Sujet-AuditionConcert.pdf;
Beethoven et la musique;https://labolycee.org/beethoven-et-la-musique;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-284a-Sujet-Beethoven.pdf;
Un décret qui fait grand bruit;https://labolycee.org/un-decret-qui-fait-grand-bruit;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2424a-Sujet-AuditionDecret.pdf;
Implant cochléaire;https://labolycee.org/implant-cochleaire;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/1EnsSci-2411a-Sujet-ImplantCochleaire.pdf;
Enregistrement de fichiers sonores;https://labolycee.org/enregistrement-de-fichiers-sonores;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2397b-Sujet-Enregistrement.pdf;
Gamme tempérée et gamme de Pythagore;https://labolycee.org/gamme-temperee-et-gamme-de-pythagore;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2396b-Sujet-Gammes-Temp-Pythagore.pdf;
Le son : de lanalogique au numérique;https://labolycee.org/le-son-de-lanalogique-au-numerique;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2395b-Sujet-SonAnaNum.pdf;
Gamme tempérée et guitare classique;https://labolycee.org/gamme-temperee-et-guitare-classique;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2020-05/1EnsSci-2392b-Sujet-GammeGuitare.pdf;
Des instruments, des notes et des gammes (version 2);https://labolycee.org/des-instruments-des-notes-et-des-gammes-version-2;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2019-08/2020-1EnsSci-Sujet0-IntruNotesGammes-v2-10pts.pdf;https://www.labolycee.org/sites/default/files/2019-12/2020-1EnsSci-Sujet0-IntruNotesGammes-v2-Correction-10pts.pdf
La Betadine®;https://labolycee.org/la-betadiner;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Oxydoréduction;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-061-Exo1-Chi-BetadineBeer.pdf;
La détection du tabagisme passif;https://labolycee.org/la-detection-du-tabagisme-passif;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2021-01/PC-GENE-054-SUJET-Exo1-Chi-TabagismeSCN.pdf;https://www.labolycee.org/sites/default/files/2021-01/PC-GENE-054-CORRECTION-Exo1-Chi-TabagismeSCN.pdf
Le vert malachite;https://labolycee.org/le-vert-malachite;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Spectroscopie IR | Synthèse organique;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-042-Exo1-Chi-VertMalachiteBeer.pdf;
Des instruments, des notes et des gammes (version 1);https://labolycee.org/des-instruments-des-notes-et-des-gammes-version-1;10 points;1ère EC Enseignement Scientifique | Son et musique;1 heure;https://www.labolycee.org/sites/default/files/2019-08/2020-1EnsSci-Sujet0-IntruNotesGammes-10pts.pdf;https://www.labolycee.org/sites/default/files/2019-12/2020-1EnsSci-Sujet0-Correction-IntruNotesGammes-10pts.pdf
Entretien de leau dune piscine;https://labolycee.org/entretien-de-leau-dune-piscine;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-041-Exo2-Chi-PiscineClBeer.pdf;
Recycler un médicament;https://labolycee.org/recycler-un-medicament;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Polarité | Solubilité;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-040-Exo1-Chi-RecycleBetadine.pdf;
Recyclage dune solution de bouillie bordelaise;https://labolycee.org/recyclage-dune-solution-de-bouillie-bordelaise;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-026-SUJET-Exo2-Chi-BouillieBordelaise-Beer.pdf;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-026-CORRECTION-Exo2-Chi-BouillieBordelaise-Beer.pdf
Le bleu de méthylène en médecine et en biologie;https://labolycee.org/le-bleu-de-methylene-en-medecine-et-en-biologie;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Oxydoréduction;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-014-SUJET-Exo1-Chi-BleuMBeer.pdf;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-014-CORRECTION-Exo1-Chi-BleuMBeer_0.pdf
Goût et couleur du sirop de menthe;https://labolycee.org/gout-et-couleur-du-sirop-de-menthe;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Quantité de matière | Solubilité | Synthèse organique;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-003-Exo1-Chi-SiropMenthe.pdf;
Les ions ferreux essentiels pour le transport du dioxygène dans le sang;https://labolycee.org/les-ions-ferreux-essentiels-pour-le-transport-du-dioxygene-dans-le-sang;10 points;1ère EC Spécialité Physique Chimie | Loi de Beer-Lambert | Oxydoréduction | Python;1 heure;https://www.labolycee.org/sites/default/files/2019-08/1-PC-2020-Sujet0-FerSang-10pts.pdf;https://www.labolycee.org/sites/default/files/2019-12/1-PC-2020-Sujet0-Correction-FerSang-10pts_0.pdf
Bouquet final;https://labolycee.org/bouquet-final;10 points;1ère EC Spécialité Physique Chimie | Combustions | Énergie mécanique | Oxydoréduction | Photon | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-101-Exo1-Phy-Chi-Pyrotechnie.pdf;
Photographie argentique noir et blanc;https://labolycee.org/photographie-argentique-noir-et-blanc;10 points;1ère EC Spécialité Physique Chimie | Images et couleurs | Oxydoréduction | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-100-SUJET-Exo2-Phy-Chi-PhotoArgentique.pdf;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-100-CORRECTION-Exo2-Phy-Chi-PhotoArgentique.pdf
Comparaison de deux appareils à fondue;https://labolycee.org/comparaison-de-deux-appareils-fondue;10 points;1ère EC Spécialité Physique Chimie | Combustions | Électricité | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-100-Exo1-Phy-Chi-AppareilsFondue.pdf;
Des esters qui flattent nos cellules olfactives;https://labolycee.org/des-esters-qui-flattent-nos-cellules-olfactives;10 points;1ère EC Spécialité Physique Chimie | Quantité de matière | Synthèse organique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-063-SUJET-Exo1-Chi-Ester.pdf;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-063-CORRECTION-Exo1-Chi-Ester.pdf
Allantoïne;https://labolycee.org/allantoine;10 points;1ère EC Spécialité Physique Chimie | Quantité de matière | Spectroscopie IR | Synthèse organique;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-059-SUJET-Exo1-Chi-Allantoine.pdf;https://www.labolycee.org/sites/default/files/2020-07/PC-GENE-059-CORRECTION-Exo1-Chi-Allantoine.pdf
Hypochlorites et eaux de Javel;https://labolycee.org/hypochlorites-et-eaux-de-javel;10 points;1ère EC Spécialité Physique Chimie | Oxydoréduction | Quantité de matière | Titrage;1 heure;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-009-SUJET-Exo1-Chi-TitrageJavel_0.pdf;https://www.labolycee.org/sites/default/files/2020-06/PC-GENE-009-CORRECTION-Exo1-Chi-TitrageJavel_0.pdf
Synthèse et propriétés lavantes dun savon;https://labolycee.org/synthese-et-proprietes-lavantes-dun-savon;10 points;1ère EC Spécialité Physique Chimie | Polarité | Quantité de matière | Solubilité | Synthèse organique;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-008-Exo1-Chi-Savons.pdf;
Dihydrogène et ballons dirigeables;https://labolycee.org/dihydrogene-et-ballons-dirigeables;10 points;1ère EC Spécialité Physique Chimie | Combustions | Oxydoréduction | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-006-Exo2-Chi-H2Ballon.pdf;
Réalisation dune végétation métallique;https://labolycee.org/realisation-dune-vegetation-metallique;10 points;1ère EC Spécialité Physique Chimie | Oxydoréduction | Python | Quantité de matière;1 heure;https://www.labolycee.org/sites/default/files/2020-05/PC-GENE-SUJET-004-Exo2-Chi-ArbreDiane.pdf;
